Пивоварня,Стиль,Плотность,Алкоголь,Горечь,Хмель,Начало выпуска,Рейтинг,Пиво,Солод,Производство,Подрядчик,Добавки,Ссылка
Belgoo,IPA - Belgian,,"6,5%",,,25.09.2015,"3,53",Luppo Extra,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/belgoo-luppo-extra
Belgoo,Belgian Blonde,,"6,6%",20 IBU,,02.12.2010,"3,445",Belgoo Magus,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/belgoo-belgoo-magus
Belgoo,IPA - Belgian,,"6,5%",36 IBU,,20.01.2012,"3,453",Belgoo Luppo,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/belgoo-belgoo-luppoo
Belgoo,Farmhouse Ale - Saison,,"4,4%",34 IBU,,07.05.2012,"3,355",Belgoo Saisonneke,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/belgoo-saisonneke
Belgoo,Farmhouse Ale - Saison,,"4,4%",,,27.08.2016,"3,369",Saisonneke Extra,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/belgoo-saisonneke-extra
Belhaven Brewery,Stout - Irish Dry,,"4,2%",10 IBU,,24.02.2012,"3,553",Belhaven Black,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/belhaven-black
Belhaven Brewery,Blonde Ale,,"6,5%",25 IBU,"                                                                            Challenger,                                                                             Golding                                                                        ",14.06.2014,"3,527",Speyside Oak Aged Blonde Ale,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/belhaven-speyside-oak-aged-blonde-ale
Belhaven Brewery,IPA - Other,,"5,6%",45 IBU,"                                                                            Challenger,                                                                             Cascade,                                                                             Hersbrucker                                                                        ",21.08.2010,"3,396",Twisted Thistle IPA,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/belhaven-twisted-thistle-ipa
Belhaven Brewery,Pale Ale - English,,"4,5%",,,13.12.2018,"3,316",1719,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/belhaven-1719
Belhaven Brewery,Stout - Coffee,,"5,0%",,,11.12.2019,"3,578",Black Americano,,,,                                                                            Coffee                                                                        ,https://your.beer/beer/belhaven-brewery-black-americano
Belhaven Brewery,Scotch Ale / Wee Heavy,,"6,8%",26 IBU,,12.07.2013,"3,681",90/~ Wee Heavy,,,,,https://your.beer/beer/belhaven-brewery-90-wee-heavy
Belhaven Brewery,Stout - Oatmeal,,"6,8%",32 IBU,,,"3,698",Scottish Oat Stout,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/belhaven-scottish-oat-stout
Belhaven Brewery,Stout - Other,,"4,1%",,,25.02.2011,"3,589",McCallum's Stout,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/belhaven-mccallums-stout
Belhaven Brewery,Brown Ale - English,,"4,2%",,,27.01.2011,"3,492",Robert Burns Brown Ale,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/belhaven-robert-burns-brown-ale
Belhaven Brewery,Cider - Traditional / Apfelwein,,"5,0%",,,26.04.2015,"3,542",Craft Cider,,,,,https://your.beer/beer/belhaven-craft-cider
Belhaven Brewery,IPA - American,"9,5%","5,3%",55 IBU,"                                                                            Chinook,                                                                             Mandarina Bavaria                                                                        ",18.08.2016,"3,373",Twisted Grapefruit IPA,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/belhaven-twisted-grapefruit-ipa
Belhaven Brewery,Lager - Pale,,"4,0%",,,20.02.2017,"3,124",Saltire,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/belhaven-brewery-saltire
Belhaven Brewery,Scotch Ale / Wee Heavy,,"6,2%",,,10.10.2017,"3,185",Salted Caramel Wee Heavy,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/belhaven-salted-caramel-wee-heavy
Belhaven Brewery,IPA - English,,"4,2%",,,30.05.2011,"3,105",IPA,,,,,https://your.beer/beer/belhaven-brewery-ipa
Belhaven Brewery,IPA - English,,"5,3%",,                                                                            Mandarina Bavaria                                                                        ,08.12.2018,"3,404",Twisted Clementine IPA,,,,,https://your.beer/beer/belhaven-twisted-clementine-ipa
Belhaven Brewery,Scottish Ale,,"5,2%",28 IBU,,,"3,579",Scottish Ale,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/belhaven-scottish-ale
Belhaven Brewery,Cider - Traditional / Apfelwein,,"5,0%",,,22.04.2016,"3,534",Belhaven Apple Cider,,                                        постоянный выпуск                                     ,Aston Manor Cider,,https://your.beer/beer/aston-manor-cider-belhaven-apple-cider
Belhaven Brewery,Stout - Other,,"6,8%",50 IBU,,04.06.2015,"3,642",Scottish Stout,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/belhaven-scottish-stout
Belhaven Brewery,Pilsner - Other,,"4,8%",28 IBU,,04.03.2014,"3,222",Craft Pilsner,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/belhaven-craft-pilsner
Belhaven Brewery,Brown Ale - Other,,"5,2%",,,15.01.2018,"3,356",Scottish Brown Ale,,,,,https://your.beer/beer/belhaven-brewery-scottish-brown-ale
Bell’s Brewery,IPA - Imperial / Double,,"6,8%",65 IBU,,,"4,265",Hopslam Ale,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/bells-brewery-hopslam-ale
"Bella Craft Beer, Hood Cervejaria",IPA - Imperial / Double,,"6,8%",65 IBU,,19.01.2017,"3,984",Mordida do Tyson,,,,,https://your.beer/beer/bella-craft-beer-mordida-do-tyson
Belle Mousse,Stout - Other,,"5,0%",,,17.08.2020,"3,667",Нуар,,,,,https://your.beer/beer/belle-mousse-nuar
Belle-Vue,Lambic - Kriek,,"5,1%",,,22.07.2017,N/A,Kriek (2017),,,,,https://your.beer/beer/belle-vue-kriek-2017
Belle-Vue,Lambic - Kriek,,"4,1%",,,,"3,365",Kriek Extra,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/belle-vue-kriek-extra
Belle-Vue,Lambic - Kriek,,"5,1%",10 IBU,,,"3,204",Kriek,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/belle-vue-kriek
Belle-Vue,Lambic - Kriek,,"5,1%",,,05.09.2014,"3,122",Kriek Classique,,,,,https://your.beer/beer/belle-vue-kriek-classique
Belle-Vue,Lambic - Gueuze,,"5,2%",,,05.10.2013,N/A,Gueuze (1992),,,,,https://your.beer/beer/belle-vue-gueuze-1992
Bellwoods Brewery,Wild Ale - American,,"6,1%",,,13.11.2020,N/A,Farmageddon (Norfolk Montmorency Cherries) (2020),,,,,https://your.beer/beer/bellwoods-brewery-farmageddon-norfolk-montmorency-cherries-2020
"Trillium Brewing Company, Bellwoods Brewery",IPA - Imperial / Double,,"6,8%",,,23.09.2021,"4,255",Super Duper Street Shark,,,,,https://your.beer/beer/trillium-brewing-company-super-duper-street-shark
Bellwoods Brewery,Wild Ale - American,,"6,8%",,,11.09.2013,"3,949",Farmageddon,,,,,https://your.beer/beer/bellwoods-brewery-farmageddon
Bellwoods Brewery,Sour - Fruited,,"5,6%",,,25.02.2021,"3,922",Jelly King (Plum/Cherry),,,,,https://your.beer/beer/bellwoods-brewery-jelly-king-plum-cherry
Bellwoods Brewery,Farmhouse Ale - Saison,,"5,8%",,,01.10.2017,"3,867",White Picket Fence,,,,,https://your.beer/beer/bellwoods-brewery-white-picket-fence
Bellwoods Brewery,Wild Ale - American,,"5,5%",,,05.11.2021,"4,05",Farmageddon (Norfolk Montmorency Cherries) (2021),,,,,https://your.beer/beer/bellwoods-brewery-farmageddon-norfolk-montmorency-cherries-2021
"Evil Twin Brewing, Bellwoods Brewery",Pale Ale - American,,"5,6%",,,10.07.2019,"3,658",Acai Bowl Helmet,,,,,https://your.beer/beer/evil-twin-brewing-nyc-acai-bowl-helmet
"Brasserie de la Senne, Bellwoods Brewery",Stout - Imperial / Double,,"6,8%",,,22.01.2019,"3,582",Imperial Donkey,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/brasserie-de-la-senne-bellwoods-brewery-imperial-donkey
Bendery Brew,Lager - Dark,,"4,3%",,,27.09.2015,"2,718",Старая Крепость Юбилейное,,,,,https://your.beer/beer/benderskij-pz-bendery-brew-staraya-krepost-yubilejnoe
Bendery Brew,Lager - Pale,,"4,0%",,,30.10.2014,"2,857",Старая крепость классическое,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/bendery-brew-staraya-krepost-klassicheskoe
Benediktiner Weißbräu,Lager - Helles,,"5,0%",16 IBU,,27.06.2015,"3,387",Benediktiner Hell,,,,,https://your.beer/beer/benediktiner-weissbrau-benediktiner-hell
Benediktiner Weißbräu,Wheat Beer - Hefeweizen,,"5,4%",13 IBU,,27.11.2011,"3,556",Benediktiner Weissbier,,,,,https://your.beer/beer/benediktiner-weissbrau-benediktiner-weissbier
Benediktiner Weißbräu,Wheat Beer - Dunkelweizen,,"5,4%",13 IBU,,10.02.2014,"3,445",Benediktiner Weissbier Dunkel,,,,,https://your.beer/beer/benediktiner-weissbrau-benediktiner-weissbier-dunkel
Benediktiner Weißbräu,Festbier,,"5,8%",26 IBU,,14.09.2015,"3,669",Benediktiner Festbier,,,,,https://your.beer/beer/benediktiner-weissbrau-benediktiner-festbier
Benediktiner Weißbräu,Festbier,,"5,8%",,,19.08.2021,N/A,Benediktiner Festbier (2021),,,,,https://your.beer/beer/benediktiner-weissbrau-benedikitiner-festbier-2021
"Bereta Brewing Co., Wicked Barrel",Stout - Imperial / Double,,"6,8%",,,14.12.2021,"4,338",The Black Pot - Bourbon Barrel Aged (2021),,,,,https://your.beer/beer/bereta-brewing-co-the-black-pot-bourbon-barrel-aged-2021
"Bereta Brewing Co., Wicked Barrel",Stout - Imperial / Double,,"6,8%",52 IBU,,13.05.2021,"4,101","The Black Pot - Cocoa Nibs, Honey, Figs (2021)",,,,,https://your.beer/beer/bereta-brewing-co-the-black-pot-cocoa-nibs-honey-figs-2021
Bereta Brewing Co.,IPA - New England / Hazy,,"6,8%",,,09.03.2023,"3,986",Alley Cat,,,,,https://your.beer/beer/bereta-brewing-co-alley-cat
Bereta Brewing Co.,Old / Stock Ale,,"6,8%",,,09.03.2023,"3,867",BBC 2022 - Old Ale,,,,,https://your.beer/beer/bereta-brewing-co-bbc-2022-old-ale
"Vault City Brewing, Bereta Brewing Co.",Sour - Smoothie / Pastry,,"6,5%",,,27.02.2023,"4,204",Mango Banana Coconut Crumble,,,,,https://your.beer/beer/vault-city-brewing-mango-banana-coconut-crumble
Bereta Brewing Co.,IPA - Imperial / Double New England / Hazy,,"6,8%",,,11.10.2022,"4,096",A Certain Shade of Green,,,,,https://your.beer/beer/bereta-brewing-co-a-certain-shade-of-green
"Browar Pinta, Bereta Brewing Co.",IPA - New England / Hazy,,"6,5%",,,20.08.2023,"3,909",Hazy Discovery Timisoara,,,,,https://your.beer/beer/pinta-hazy-discovery-timisoara
"Bereta Brewing Co., Wicked Barrel",Stout - Imperial / Double,,"6,8%",52 IBU,,13.05.2021,"4,12","The Black Pot - Coconut, Biscotti (2021)",,,,,https://your.beer/beer/bereta-brewing-co-the-black-pot-coconut-biscotti-2021
"Bereta Brewing Co., Wicked Barrel",Stout - Imperial / Double,,"6,8%",,,14.12.2021,"4,124",The Black Pot - Marsala Barrel Aged (2021),,,,,https://your.beer/beer/bereta-brewing-co-the-black-pot-marsala-barrel-aged-2021
"Mad Scientist, Bereta Brewing Co.",Stout - Imperial / Double Pastry,,"6,8%",,,03.12.2021,"3,807",TCB Taking Care of Business,,,,,https://your.beer/beer/mad-scientist-tcb-taking-care-of-business
Berezan's Brewery,Stout - Other,,"6,5%",28 IBU,,24.10.2020,"3,42",Бельгійський Стаут,,,,,https://your.beer/beer/berezan-s-brewery-belgijskij-staut
Berezan's Brewery,IPA - American,,"5,5%",,,06.03.2021,"3,241",Цитрус IPA,,,,,https://your.beer/beer/berezan-s-brewery-citrus-ipa
Berezan's Brewery,Red Ale - American Amber / Red,,"5,0%",20 IBU,,24.10.2020,"3,356",Березанське Янтарне,,,,,https://your.beer/beer/berezan-s-brewery-berezanske-yantarne
Berezan's Brewery,Wheat Beer - Witbier / Blanche,,"5,0%",29 IBU,,30.06.2021,N/A,Березанське Wheat Beer,,,,,https://your.beer/beer/berezan-s-brewery-berezyanske-wheat-beer
Berezan's Brewery,Hard Ginger Beer,,"5,5%",16 IBU,,07.06.2022,N/A,Імбирний Ель,,,,,https://your.beer/beer/berezan-s-brewery-imbirnij-el
Berezan's Brewery,Golden Ale - Ukrainian,,"5,5%",10 IBU,,27.11.2022,N/A,Мольфар,,,,,https://your.beer/beer/berezan-s-brewery-molfar
Berezan's Brewery,Lager - Munich Dunkel,,"4,0%",17 IBU,,13.10.2022,"2,825",Карафа,,,,,https://your.beer/beer/berezan-s-brewery-karafa
Berezan's Brewery,Sour - Other Gose,,"4,5%",12 IBU,,07.04.2023,N/A,Гозе з сіллю,,,,,https://your.beer/beer/berezan-s-brewery-goze-z-sillyu
Berezan's Brewery,Wheat Beer - Hefeweizen,,"4,5%",12 IBU,,24.10.2020,"3,365",Пшеничне,,,,,https://your.beer/beer/berezan-s-brewery-pshenichne
Berezan's Brewery,IPA - Session,,"5,0%",30 IBU,,27.11.2022,N/A,Session IPA,,,,,https://your.beer/beer/berezan-s-brewery-session-ipa
Berezan's Brewery,Pumpkin / Yam Beer,,"5,0%",15 IBU,,13.10.2022,"3,429",Конотопська Відьма,,,,,https://your.beer/beer/berezan-s-brewery-konotopska-vidma
